episode,timestep,reward
8860, 373500, 8.4548
8882, 375000, 9.4169
8905, 376500, 9.0147
8927, 378000, 8.2059
8948, 379500, 8.1138
8970, 381000, 8.9047
8993, 382500, 8.0331
9016, 384000, 8.2167
9038, 385500, 10.3262
9060, 387000, 7.566
9082, 388500, 7.7867
9104, 390000, 10.3726
9126, 391500, 10.4686
9147, 393000, 11.2561
9167, 394500, 10.7771
9190, 396000, 10.9531
9210, 397500, 8.8245
9231, 399000, 11.0829
9252, 400500, 11.6476
9274, 402000, 10.1589
9295, 403500, 10.6765
9317, 405000, 9.8159
9338, 406500, 11.0877
9359, 408000, 12.2942
9381, 409500, 8.5485
9401, 411000, 12.1811
9422, 412500, 11.19
9444, 414000, 10.9324
9464, 415500, 14.6141
9485, 417000, 13.1513
9506, 418500, 10.9512
9526, 420000, 12.2086
9547, 421500, 11.2328
9568, 423000, 13.1844
9588, 424500, 11.6834
9609, 426000, 12.8952
9630, 427500, 12.3584
9650, 429000, 13.4222
9670, 430500, 13.8905
9691, 432000, 12.5585
9711, 433500, 13.3076
9731, 435000, 12.9228
9750, 436500, 14.3167
9770, 438000, 11.4405
9790, 439500, 14.3815
9810, 441000, 13.8352
9830, 442500, 13.3357
9850, 444000, 13.5593
9869, 445500, 13.4508
9889, 447000, 14.0792
9910, 448500, 14.0145
9930, 450000, 14.2924
9950, 451500, 13.1145
9970, 453000, 12.791
9990, 454500, 13.4619
10011, 456000, 12.2332
10031, 457500, 11.8464
10051, 459000, 12.436
10072, 460500, 13.0029
10092, 462000, 14.4894
10111, 463500, 13.4347
10130, 465000, 13.6756
10149, 466500, 14.7016
10170, 468000, 12.6134
10190, 469500, 14.0399
10209, 471000, 14.3659
10228, 472500, 13.2765
10248, 474000, 14.7779
10267, 475500, 14.4422
10287, 477000, 13.7562
10307, 478500, 12.5718
10328, 480000, 13.5082
10346, 481500, 13.1673
10365, 483000, 15.0787
10385, 484500, 14.8949
10405, 486000, 14.5876
10425, 487500, 12.8045
10444, 489000, 14.8614
10463, 490500, 13.6225
10481, 492000, 15.5588
10499, 493500, 14.6125
10517, 495000, 11.8193
10535, 496500, 15.7793
10555, 498000, 13.9458
10574, 499500, 14.7879
10593, 501000, 15.6364
10612, 502500, 14.8207
10632, 504000, 14.1467
10649, 505500, 15.5541
10668, 507000, 16.2998
10687, 508500, 14.6396
10707, 510000, 14.5459
10726, 511500, 15.4366
10743, 513000, 17.9804
10760, 514500, 16.1501
10777, 516000, 15.5476
10796, 517500, 15.799
10813, 519000, 17.235
10831, 520500, 15.1406
10847, 522000, 16.6494
10866, 523500, 16.5662
10883, 525000, 15.9468
10901, 526500, 15.5373
10918, 528000, 18.4438
10936, 529500, 16.832
10953, 531000, 18.4175
10969, 532500, 17.242
10985, 534000, 18.3982
11002, 535500, 18.6595
11021, 537000, 15.6402
11036, 538500, 16.8111
11051, 540000, 19.1062
11069, 541500, 17.5906
11085, 543000, 18.7626
11104, 544500, 16.3038
11121, 546000, 18.9893
11138, 547500, 19.1172
11156, 549000, 14.4069
11175, 550500, 17.0342
11190, 552000, 16.7951
11206, 553500, 17.4288
11224, 555000, 16.406
11240, 556500, 18.1779
11256, 558000, 18.6642
11273, 559500, 17.8445
11288, 561000, 17.5412
11304, 562500, 19.6756
11318, 564000, 18.6602
11334, 565500, 16.8947
11352, 567000, 17.2072
11368, 568500, 20.2885
11386, 570000, 18.5311
11403, 571500, 17.7607
11420, 573000, 19.0706
11438, 574500, 19.1552
11455, 576000, 19.3081
11469, 577500, 20.1899
11484, 579000, 20.777
11500, 580500, 19.3934
11514, 582000, 19.9071
11528, 583500, 21.3468
11543, 585000, 20.0198
11560, 586500, 18.0704
11576, 588000, 16.8493
11593, 589500, 17.8495
11607, 591000, 19.2755
11622, 592500, 22.5175
11636, 594000, 22.8849
11651, 595500, 19.1938
11663, 597000, 20.9856
11677, 598500, 22.7808
11692, 600000, 21.0207
11707, 601500, 19.5243
11721, 603000, 20.1176
11735, 604500, 16.4117
11750, 606000, 22.4069
11765, 607500, 19.803
11781, 609000, 17.4926
11797, 610500, 18.9604
11812, 612000, 20.5054
11826, 613500, 20.4179
11841, 615000, 19.8938
11856, 616500, 20.1881
11871, 618000, 20.3663
11886, 619500, 19.7409
11901, 621000, 18.2798
11916, 622500, 17.9779
11929, 624000, 21.8083
11945, 625500, 19.3515
11959, 627000, 20.6035
11972, 628500, 22.8251
11986, 630000, 21.3327
12000, 631500, 22.6857
12014, 633000, 22.3259
12030, 634500, 20.8754
12044, 636000, 22.2599
12059, 637500, 20.8517
12073, 639000, 21.0407
12088, 640500, 23.2218
12102, 642000, 20.0239
12114, 643500, 24.8102
12129, 645000, 22.1198
12142, 646500, 24.9549
12156, 648000, 21.122
12169, 649500, 22.2085
12183, 651000, 22.1744
12196, 652500, 25.2409
12209, 654000, 22.1605
12221, 655500, 22.9449
12233, 657000, 20.5375
12246, 658500, 24.0179
12260, 660000, 21.0936
12272, 661500, 26.8819
12285, 663000, 27.4223
12298, 664500, 23.8342
12310, 666000, 22.7473
12322, 667500, 24.6941
12337, 669000, 22.8689
12350, 670500, 22.8359
12363, 672000, 19.9005
12377, 673500, 21.7513
12389, 675000, 23.7707
12402, 676500, 24.0503
12416, 678000, 26.6161
12430, 679500, 22.9152
12442, 681000, 28.4058
12455, 682500, 25.9864
12466, 684000, 29.9932
12479, 685500, 25.5688
12492, 687000, 25.1456
12505, 688500, 21.343
12519, 690000, 23.0876
12532, 691500, 23.5041
12545, 693000, 26.8658
12559, 694500, 28.9799
12572, 696000, 24.5989
12585, 697500, 26.0457
12599, 699000, 24.7085
12611, 700500, 28.1984
12626, 702000, 19.5382
12640, 703500, 25.5677
12653, 705000, 24.6145
12666, 706500, 23.9673
12679, 708000, 24.4745
12693, 709500, 26.1715
12707, 711000, 23.7758
12721, 712500, 26.4144
12733, 714000, 27.962
12746, 715500, 24.4396
12758, 717000, 29.0285
12771, 718500, 30.403
12784, 720000, 30.5389
12798, 721500, 24.8093
12811, 723000, 27.2717
12823, 724500, 28.5361
12837, 726000, 27.172
12850, 727500, 25.2817
12864, 729000, 27.3844
12877, 730500, 25.2247
12890, 732000, 25.2893
12904, 733500, 29.1557
12916, 735000, 29.6442
12926, 736500, 30.8054
12929, 738000, 28.1639
12942, 739500, 28.2612
12956, 741000, 26.6103
12970, 742500, 23.7717
12982, 744000, 31.1622
12995, 745500, 29.4105
13009, 747000, 24.6676
13021, 748500, 31.7441
13034, 750000, 28.8358
13046, 751500, 25.9677
13058, 753000, 31.585
13073, 754500, 25.1098
13086, 756000, 27.869
13098, 757500, 36.8202
13110, 759000, 31.5571
13122, 760500, 33.8637
13135, 762000, 27.8569
13146, 763500, 35.7065
13158, 765000, 35.4731
13171, 766500, 32.0299
13184, 768000, 27.4455
13197, 769500, 25.2407
13210, 771000, 31.4554
13223, 772500, 28.5558
13236, 774000, 32.8843
13248, 775500, 32.6422
13260, 777000, 38.4075
13272, 778500, 37.2695
13284, 780000, 33.8899
13297, 781500, 27.7385
13309, 783000, 30.7031
13320, 784500, 35.823
13333, 786000, 32.4696
13344, 787500, 37.3762
13356, 789000, 32.3034
13370, 790500, 30.6537
13381, 792000, 39.0943
13394, 793500, 30.5808
13406, 795000, 31.2181
13419, 796500, 30.2377
13431, 798000, 35.5134
13444, 799500, 37.7149
13456, 801000, 30.748
13468, 802500, 31.4667
13479, 804000, 33.4794
13492, 805500, 34.0491
13504, 807000, 31.5102
13517, 808500, 33.4224
13530, 810000, 31.6969
13542, 811500, 34.2734
13554, 813000, 32.176
13566, 814500, 36.6433
13578, 816000, 28.1604
13591, 817500, 28.7183
13602, 819000, 33.7038
13615, 820500, 32.6135
13628, 822000, 30.4193
13641, 823500, 32.7909
13654, 825000, 32.9834
13667, 826500, 35.789
13681, 828000, 28.7204
13693, 829500, 37.4315
13706, 831000, 28.811
13719, 832500, 37.5814
13731, 834000, 31.0016
13743, 835500, 30.3408
13756, 837000, 32.3549
13768, 838500, 38.1156
13782, 840000, 31.4493
13794, 841500, 32.3374
13806, 843000, 39.0441
13818, 844500, 34.3562
13830, 846000, 39.4905
13843, 847500, 38.0356
13855, 849000, 31.8741
13867, 850500, 37.6591
13880, 852000, 35.5747
13893, 853500, 30.545
13906, 855000, 34.3838
13918, 856500, 37.2142
13930, 858000, 35.8892
13942, 859500, 43.4345
13956, 861000, 27.2557
13968, 862500, 42.7201
13981, 864000, 29.9835
13994, 865500, 36.0453
14005, 867000, 35.2966
14016, 868500, 38.5867
14029, 870000, 34.8564
14042, 871500, 36.4309
14056, 873000, 25.8921
14068, 874500, 33.7337
14080, 876000, 40.0699
14092, 877500, 35.7023
14104, 879000, 42.0075
14116, 880500, 38.5377
14129, 882000, 36.6134
14140, 883500, 38.5172
14153, 885000, 34.9104
14166, 886500, 31.031
14178, 888000, 44.1618
14190, 889500, 39.0189
14202, 891000, 38.2328
14214, 892500, 37.6219
14227, 894000, 37.52
14239, 895500, 39.0081
14251, 897000, 31.5516
14264, 898500, 37.7615
14275, 900000, 39.7978
14289, 901500, 33.253
14302, 903000, 35.6852
14315, 904500, 36.8495
14327, 906000, 34.2288
14339, 907500, 39.6233
14351, 909000, 43.3133
14362, 910500, 41.9531
14373, 912000, 39.5029
14385, 913500, 40.1731
14397, 915000, 35.8167
14411, 916500, 31.6998
14423, 918000, 34.5781
14433, 919500, 41.3922
14447, 921000, 33.8332
14460, 922500, 42.7292
14472, 924000, 35.0349
14484, 925500, 35.5748
14497, 927000, 37.7135
14510, 928500, 35.8847
14522, 930000, 36.7199
14533, 931500, 46.8809
14545, 933000, 42.6248
14557, 934500, 43.4245
14570, 936000, 37.596
14583, 937500, 39.9608
14593, 939000, 43.6394
14606, 940500, 36.2084
14619, 942000, 37.8603
14631, 943500, 41.7091
14643, 945000, 42.895
14654, 946500, 37.6546
14667, 948000, 42.3081
14680, 949500, 35.0456
14692, 951000, 42.0273
14705, 952500, 41.075
14717, 954000, 41.4387
14729, 955500, 39.6727
14740, 957000, 45.9831
14751, 958500, 41.6843
14763, 960000, 41.6428
14775, 961500, 40.1155
14787, 963000, 41.5012
14799, 964500, 43.1638
14811, 966000, 47.2489
14823, 967500, 41.0357
14836, 969000, 35.568
14848, 970500, 41.1099
14862, 972000, 36.6627
14873, 973500, 45.2389
14885, 975000, 40.4725
14898, 976500, 40.5643
14909, 978000, 48.2922
14921, 979500, 42.9514
14934, 981000, 32.7954
14946, 982500, 43.1037
14958, 984000, 37.271
14971, 985500, 45.036
14984, 987000, 41.2777
14996, 988500, 40.4747
15009, 990000, 45.8053
15020, 991500, 43.671
15034, 993000, 38.8356
15046, 994500, 42.0433
15058, 996000, 43.554
15069, 997500, 46.7429
15080, 999000, 41.0845
15092, 1000500, 42.5159
15103, 1002000, 45.1935
15114, 1003500, 51.032
15125, 1005000, 45.2576
15137, 1006500, 46.7688
15148, 1008000, 55.0552
15160, 1009500, 46.9113
15171, 1011000, 49.1541
15182, 1012500, 53.1002
15194, 1014000, 46.6614
15206, 1015500, 44.6229
15218, 1017000, 44.7661
15230, 1018500, 44.5464
15241, 1020000, 46.2477
15252, 1021500, 51.394
15265, 1023000, 41.4117
15277, 1024500, 47.861
15289, 1026000, 52.6576
15301, 1027500, 41.6744
15312, 1029000, 46.8743
15323, 1030500, 50.8541
15335, 1032000, 50.9826
15347, 1033500, 37.9567
15359, 1035000, 48.7865
15370, 1036500, 56.3603
15381, 1038000, 42.3284
15392, 1039500, 46.3537
15405, 1041000, 46.5503
15417, 1042500, 37.6443
15429, 1044000, 44.1251
15440, 1045500, 51.0469
15452, 1047000, 49.7947
15464, 1048500, 45.3347
15476, 1050000, 45.401
15488, 1051500, 47.3252
15500, 1053000, 44.3137
15512, 1054500, 40.7272
15523, 1056000, 53.4183
15535, 1057500, 50.6334
15547, 1059000, 50.4598
15558, 1060500, 52.7237
15569, 1062000, 48.9686
15581, 1063500, 53.8225
15593, 1065000, 46.4795
15604, 1066500, 53.1978
15616, 1068000, 52.3079
15630, 1069500, 44.6115
15642, 1071000, 46.0642
15654, 1072500, 47.2588
15666, 1074000, 42.9402
15679, 1075500, 44.4017
15691, 1077000, 39.7016
15705, 1078500, 39.1944
15716, 1080000, 49.9248
15727, 1081500, 51.1495
15740, 1083000, 44.7754
15751, 1084500, 48.4335
15763, 1086000, 42.1075
15774, 1087500, 51.3817
15786, 1089000, 49.6282
15796, 1090500, 57.9384
15808, 1092000, 50.7717
15820, 1093500, 43.1076
15832, 1095000, 46.9195
15844, 1096500, 48.8733
15856, 1098000, 44.8642
15868, 1099500, 45.1468
15879, 1101000, 54.9002
15890, 1102500, 51.5274
15902, 1104000, 50.328
15915, 1105500, 47.6633
15926, 1107000, 50.9046
15938, 1108500, 44.6641
15951, 1110000, 43.693
15962, 1111500, 40.9547
15973, 1113000, 53.4626
15985, 1114500, 50.6591
15997, 1116000, 44.9607
16008, 1117500, 52.0622
16021, 1119000, 45.4346
16032, 1120500, 51.9286
16044, 1122000, 50.755
16056, 1123500, 46.1657
16067, 1125000, 51.2502
16078, 1126500, 56.8301
16090, 1128000, 45.1488
16102, 1129500, 44.696
16114, 1131000, 43.8473
16124, 1132500, 48.5464
16136, 1134000, 48.266
16147, 1135500, 50.9375
16161, 1137000, 36.3381
16173, 1138500, 51.5934
16185, 1140000, 44.9458
16196, 1141500, 53.4443
16209, 1143000, 48.9558
16220, 1144500, 50.804
16233, 1146000, 41.9477
16245, 1147500, 51.7457
16256, 1149000, 51.7701
16268, 1150500, 53.128
16280, 1152000, 48.3999
16293, 1153500, 44.036
16305, 1155000, 47.2814
16316, 1156500, 49.6609
16328, 1158000, 53.7536
16340, 1159500, 47.9694
16352, 1161000, 54.4452
16364, 1162500, 50.0996
16376, 1164000, 51.2944
16388, 1165500, 51.5882
16400, 1167000, 50.2008
16412, 1168500, 53.0345
16423, 1170000, 59.1929
16434, 1171500, 53.8781
16445, 1173000, 49.4762
16456, 1174500, 49.2707
16468, 1176000, 54.654
16480, 1177500, 47.5055
16491, 1179000, 45.9482
16503, 1180500, 50.3565
16514, 1182000, 48.8942
16526, 1183500, 54.8252
16538, 1185000, 41.5382
16550, 1186500, 47.6885
16561, 1188000, 54.5279
16572, 1189500, 56.5152
16584, 1191000, 50.1217
16596, 1192500, 46.9135
16609, 1194000, 41.5798
16620, 1195500, 43.0707
16632, 1197000, 53.4721
16644, 1198500, 45.5447
16656, 1200000, 52.634
16668, 1201500, 42.6663
16680, 1203000, 46.9539
16691, 1204500, 61.9296
16703, 1206000, 54.4378
16714, 1207500, 52.8783
16725, 1209000, 56.032
16737, 1210500, 50.0835
16749, 1212000, 46.3351
16761, 1213500, 49.8703
16773, 1215000, 50.943
16785, 1216500, 51.0079
16798, 1218000, 43.9589
16810, 1219500, 50.3795
16821, 1221000, 56.8478
16833, 1222500, 47.5775
16844, 1224000, 47.3366
16857, 1225500, 46.3301
16868, 1227000, 51.0022
16880, 1228500, 51.9853
16892, 1230000, 57.363
16903, 1231500, 51.0405
16915, 1233000, 44.4312
16926, 1234500, 50.591
16938, 1236000, 52.0608
16950, 1237500, 49.2943
16961, 1239000, 58.0668
16973, 1240500, 54.5676
16986, 1242000, 41.2903
16997, 1243500, 59.2634
17008, 1245000, 59.8746
17020, 1246500, 49.2057
17031, 1248000, 51.7308
17042, 1249500, 49.0753
17053, 1251000, 56.3338
17065, 1252500, 55.205
17076, 1254000, 59.8791
17088, 1255500, 52.0541
17099, 1257000, 62.2694
17111, 1258500, 56.5348
17122, 1260000, 54.9392
17135, 1261500, 52.1483
17146, 1263000, 61.038
17157, 1264500, 55.4532
17169, 1266000, 61.4738
17180, 1267500, 56.9779
17191, 1269000, 62.3349
17203, 1270500, 60.3637
17215, 1272000, 50.0628
17226, 1273500, 60.6406
17238, 1275000, 51.0359
17249, 1276500, 54.8523
17261, 1278000, 54.0712
17272, 1279500, 61.0973
17284, 1281000, 57.3521
17295, 1282500, 55.9309
17306, 1284000, 59.64
17318, 1285500, 62.5976
